1132619,11,幕張豊砂,140.0272,35.6579,0.698,0.694,0.751,0.63,0.695,0.8,0.536,0.204,0.202,0.242,0.161,0.206,0.287,0.115,1.75,1.74,1.87,1.6,1.75,2.01,1.43
2600901,36,新横浜,139.617472,35.509056,0.899,0.809,0.925,0.539,0.754,0.927,0.466,0.442,0.353,0.496,0.116,0.3,0.499,0.086,2.59,2.3,2.77,1.5,2.12,2.79,1.37
2600902,36,新綱島,139.636167,35.536639,0.628,0.679,0.817,0.534,0.678,0.817,0.533,0.161,0.204,0.314,0.113,0.201,0.314,0.113,1.69,1.83,2.2,1.51,1.82,2.2,1.51
2900401,38,新横浜,139.617472,35.509056,0.899,0.809,0.925,0.539,0.754,0.927,0.466,0.442,0.353,0.496,0.116,0.3,0.499,0.086,2.59,2.3,2.77,1.5,2.12,2.79,1.37
